PROVCN,PROVEN,DISTRICTCN,DISTRICTEN,NAMECN,NAMEEN,AREAID
北京,beijing,北京,beijing,北京,beijing,101010100
北京,beijing,北京,beijing,海淀,haidian,101010200
北京,beijing,北京,beijing,朝阳,zhaoyang,101010300
北京,beijing,北京,beijing,顺义,shunyi,101010400
北京,beijing,北京,beijing,怀柔,huairou,101010500
北京,beijing,北京,beijing,通州,tongzhou,101010600
北京,beijing,北京,beijing,昌平,changping,101010700
北京,beijing,北京,beijing,延庆,yanqing,101010800
北京,beijing,北京,beijing,丰台,fengtai,101010900
北京,beijing,北京,beijing,石景山,shijingshan,101011000
北京,beijing,北京,beijing,大兴,daxing,101011100
北京,beijing,北京,beijing,房山,fangshan,101011200
北京,beijing,北京,beijing,密云,miyun,101011300
北京,beijing,北京,beijing,门头沟,mentougou,101011400
北京,beijing,北京,beijing,平谷,pinggu,101011500
上海,shanghai,上海,shanghai,上海,shanghai,101020100
上海,shanghai,上海,shanghai,闵行,minxing,101020200
上海,shanghai,上海,shanghai,宝山,baoshan,101020300
上海,shanghai,上海,shanghai,嘉定,jiading,101020500
上海,shanghai,上海,shanghai,浦东新区,pudongxinqu,101020600
上海,shanghai,上海,shanghai,金山,jinshan,101020700
上海,shanghai,上海,shanghai,青浦,qingpu,101020800
上海,shanghai,上海,shanghai,松江,songjiang,101020900
上海,shanghai,上海,shanghai,奉贤,fengxian,101021000
上海,shanghai,上海,shanghai,崇明,chongming,101021100
上海,shanghai,上海,shanghai,徐汇,xuhui,101021200
天津,tianjin,天津,tianjin,天津,tianjin,101030100
天津,tianjin,天津,tianjin,武清,wuqing,101030200
天津,tianjin,天津,tianjin,宝坻,baochi,101030300
天津,tianjin,天津,tianjin,东丽,dongli,101030400
天津,tianjin,天津,tianjin,西青,xiqing,101030500
天津,tianjin,天津,tianjin,北辰,beichen,101030600
天津,tianjin,天津,tianjin,宁河,ninghe,101030700
天津,tianjin,天津,tianjin,静海,jinghai,101030900
天津,tianjin,天津,tianjin,津南,jinnan,101031000
天津,tianjin,天津,tianjin,滨海新区,binhaixinqu,101031100
天津,tianjin,天津,tianjin,蓟县,jixian,101031400
重庆,zhongqing,重庆,zhongqing,重庆,zhongqing,101040100
重庆,zhongqing,重庆,zhongqing,永川,yongchuan,101040200
重庆,zhongqing,重庆,zhongqing,合川,hechuan,101040300
重庆,zhongqing,重庆,zhongqing,南川,nanchuan,101040400
重庆,zhongqing,重庆,zhongqing,江津,jiangjin,101040500
重庆,zhongqing,重庆,zhongqing,万盛,wansheng,101040600
重庆,zhongqing,重庆,zhongqing,渝北,yubei,101040700
重庆,zhongqing,重庆,zhongqing,北碚,beibei,101040800
重庆,zhongqing,重庆,zhongqing,巴南,banan,101040900
重庆,zhongqing,重庆,zhongqing,长寿,changshou,101041000
重庆,zhongqing,重庆,zhongqing,黔江,qianjiang,101041100
重庆,zhongqing,重庆,zhongqing,万州,wanzhou,101041300
重庆,zhongqing,重庆,zhongqing,涪陵,fuling,101041400
重庆,zhongqing,重庆,zhongqing,开县,kaixian,101041500
重庆,zhongqing,重庆,zhongqing,城口,chengkou,101041600
重庆,zhongqing,重庆,zhongqing,云阳,yunyang,101041700
